Dataset,FeatureSelection,PruneMethod,Number,Accuracy,Area,Power,bitwidth,sparsity_rate
wesad,disr,hessian,10,84.0,4.7803,26.1,8,0.2
wesad,disr,hessian,10,79.0,4.88602,26.6,8,0.5
wesad,disr,hessian,10,80.0,4.13621,22.6,8,0.9
wesad,disr,hessian,10,90.0,5.05047,27.6,8,0.2
wesad,disr,hessian,10,86.0,5.97914,32.7,8,0.5
wesad,disr,hessian,10,84.0,5.0979,27.8,8,0.9
wesad,disr,hessian,10,90.0,5.82162,31.8,8,0.2
wesad,disr,hessian,10,89.0,6.51963,35.5,8,0.5
wesad,disr,hessian,10,86.0,6.06157,33.1,8,0.9
wesad,disr,hessian,10,90.0,5.60283,30.6,8,0.2
wesad,disr,hessian,10,86.0,5.91515,32.3,8,0.5
wesad,disr,hessian,10,86.0,5.49144,29.9,8,0.9
wesad,disr,hessian,10,89.0,7.13395,38.8,8,0.5
wesad,disr,hessian,10,88.0,6.94335,37.9,8,0.9
wesad,disr,hessian,10,77.0,3.95248,21.6,8,0.2
wesad,disr,hessian,10,78.0,3.61451,19.7,8,0.5
wesad,disr,hessian,10,74.0,3.67946,20.1,8,0.9
wesad,disr,l2,10,79.0,5.23066,28.4,8,0.2
wesad,disr,l2,10,81.0,4.49917,24.6,8,0.5
wesad,disr,l2,10,81.0,5.57483,30.5,8,0.9
wesad,disr,l2,10,86.0,6.20154,33.9,8,0.2
wesad,disr,l2,10,89.0,5.19403,28.4,8,0.5
wesad,disr,l2,10,90.0,5.22427,28.5,8,0.9
wesad,disr,l2,10,85.0,5.67712,30.9,8,0.2
wesad,disr,l2,10,85.0,6.06887,33.0,8,0.5
wesad,disr,l2,10,87.0,5.6989,31.1,8,0.9
wesad,disr,l2,10,87.0,5.03054,27.4,8,0.2
wesad,disr,l2,10,90.0,5.57389,30.3,8,0.5
wesad,disr,l2,10,90.0,5.29579,28.9,8,0.9
wesad,disr,l2,10,86.0,6.57594,35.9,8,0.2
wesad,disr,l2,10,92.0,6.4789,35.3,8,0.5
wesad,disr,l2,10,91.0,6.94178,37.8,8,0.9
wesad,disr,l2,10,81.0,4.07172,22.2,8,0.2
wesad,disr,l2,10,76.0,4.0302,22.0,8,0.5
wesad,disr,l2,10,76.0,2.60132,14.2,8,0.9
wesad,disr,wanda,10,77.0,3.69214,20.1,8,0.2
wesad,disr,wanda,10,80.0,4.81044,26.2,8,0.5
wesad,disr,wanda,10,81.0,5.47546,29.9,8,0.9
wesad,disr,wanda,10,85.0,5.30317,29.0,8,0.2
wesad,disr,wanda,10,86.0,5.22815,28.6,8,0.5
wesad,disr,wanda,10,84.0,5.20698,28.5,8,0.9
wesad,disr,wanda,10,88.0,6.33159,34.6,8,0.2
wesad,disr,wanda,10,88.0,6.25999,34.2,8,0.5
wesad,disr,wanda,10,86.0,5.96708,32.6,8,0.9
wesad,disr,wanda,10,86.0,5.59264,30.5,8,0.2
wesad,disr,wanda,10,88.0,5.83755,31.9,8,0.5
wesad,disr,wanda,10,85.0,5.28849,28.9,8,0.9
wesad,disr,wanda,10,90.0,6.71859,36.6,8,0.2
wesad,disr,wanda,10,86.0,6.387,34.8,8,0.5
wesad,disr,wanda,10,90.0,6.35862,34.7,8,0.9
wesad,disr,wanda,10,74.0,3.35074,18.3,8,0.2
wesad,disr,wanda,10,74.0,3.21979,17.6,8,0.5
wesad,disr,wanda,10,77.0,3.48716,19.0,8,0.9
wesad,fisher_score,l2,10,77.0,3.56913,19.4,8,0.2
wesad,fisher_score,l2,10,75.0,3.72289,20.3,8,0.5
wesad,fisher_score,l2,10,77.0,5.43308,29.6,8,0.9
wesad,fisher_score,l2,10,80.0,4.05312,22.1,8,0.2
wesad,fisher_score,l2,10,83.0,4.65476,25.4,8,0.5
wesad,fisher_score,l2,10,84.0,5.02125,27.4,8,0.9
wesad,fisher_score,l2,10,88.0,5.7326,31.3,8,0.2
wesad,fisher_score,l2,10,85.0,4.78531,26.1,8,0.5
wesad,fisher_score,l2,10,87.0,5.16214,28.2,8,0.9
wesad,fisher_score,l2,10,92.0,5.29133,28.8,8,0.2
wesad,fisher_score,l2,10,90.0,5.51095,30.1,8,0.5
wesad,fisher_score,l2,10,90.0,5.19794,28.4,8,0.9
wesad,fisher_score,l2,10,87.0,6.28358,34.2,8,0.2
wesad,fisher_score,l2,10,90.0,6.16076,33.7,8,0.5
wesad,fisher_score,l2,10,89.0,5.85516,31.9,8,0.9
wesad,fisher_score,l2,10,69.0,3.31522,18.1,8,0.2
wesad,fisher_score,l2,10,73.0,3.72485,20.3,8,0.5
wesad,fisher_score,l2,10,69.0,3.06255,16.7,8,0.9
wesad,fisher_score,wanda,10,75.0,3.95498,21.6,8,0.2
wesad,fisher_score,wanda,10,80.0,4.35584,23.7,8,0.5
wesad,fisher_score,wanda,10,74.0,3.72012,20.3,8,0.9
wesad,fisher_score,wanda,10,83.0,4.27302,23.4,8,0.2
wesad,fisher_score,wanda,10,85.0,4.98685,27.2,8,0.5
wesad,fisher_score,wanda,10,81.0,4.25817,23.2,8,0.9
wesad,fisher_score,wanda,10,87.0,5.55459,30.4,8,0.2
wesad,fisher_score,wanda,10,89.0,5.61655,30.7,8,0.5
wesad,fisher_score,wanda,10,88.0,6.22068,33.9,8,0.9
wesad,fisher_score,wanda,10,85.0,5.16976,28.2,8,0.2
wesad,fisher_score,wanda,10,90.0,5.36149,29.3,8,0.5
wesad,fisher_score,wanda,10,90.0,6.77497,37.1,8,0.9
wesad,fisher_score,wanda,10,88.0,6.46877,35.4,8,0.2
wesad,fisher_score,wanda,10,90.0,6.35678,34.7,8,0.5
wesad,fisher_score,wanda,10,86.0,5.47229,29.9,8,0.9
wesad,fisher_score,wanda,10,68.0,2.86772,15.6,8,0.2
wesad,fisher_score,wanda,10,73.0,3.43752,18.8,8,0.5
wesad,fisher_score,wanda,10,73.0,3.46697,18.9,8,0.9
wesad,jmi,l2,10,74.0,4.51906,24.6,8,0.2
wesad,jmi,l2,10,76.0,4.98006,27.2,8,0.5
wesad,jmi,l2,10,79.0,4.98738,27.2,8,0.9
wesad,jmi,l2,10,85.0,4.08324,22.3,8,0.2
wesad,jmi,l2,10,82.0,6.08239,33.2,8,0.5
wesad,jmi,l2,10,81.0,5.38241,29.3,8,0.9
wesad,jmi,l2,10,84.0,6.44193,35.1,8,0.2
wesad,jmi,l2,10,86.0,6.44458,35.2,8,0.5
wesad,jmi,l2,10,81.0,6.63944,36.2,8,0.9
wesad,jmi,l2,10,88.0,7.36258,40.2,8,0.2
wesad,jmi,l2,10,89.0,7.05042,38.5,8,0.5
